dataset,age_comparisons,age_assignments,name_comparisons,name_assignments,age_time,name_time,age_name_comparisons,age_name_assignments,age_name_time
10,18,18,16,16,20.3379,24.3947,34,34,51.709
20,121,121,82,82,82.3737,70.0275,203,203,154.96
30,235,235,213,213,98.0631,93.4503,448,448,190.391
40,438,438,333,333,158.1,133.482,771,771,299.912
50,644,644,604,604,257.886,251.23,1248,1248,530.591
60,841,841,850,850,327.777,312.806,1691,1691,644.038
70,1276,1276,1101,1101,437.635,400.3,2377,2377,882.055
80,1675,1675,1469,1469,816.937,640.766,3144,3144,1394.14
90,2105,2105,1740,1740,705.879,609.677,3845,3845,1251.66
100,2597,2597,2098,2098,833.525,683.876,4695,4695,1494.39
