dataset,age_assignments,age_comparisons,name_assignments,name_comparisons,age_time,name_time
10,34,19,34,21,6.65199e-05,6.87957e-05
20,88,59,88,61,0.000119534,0.00014204
30,148,109,148,100,0.000188737,0.000177232
40,216,160,216,157,0.000262971,0.000256023
50,286,220,286,215,0.000317205,0.000301707
60,356,278,356,272,0.000416403,0.000380823
70,432,340,432,340,0.000482468,0.000464124
80,512,399,512,399,0.000702171,0.000833442
90,592,469,592,472,0.00079167,0.00070017
100,672,542,672,540,0.00071173,0.00070859
