dataset,age_assignments,age_comparisons,name_assignments,name_comparisons,age_time,name_time,avg_assignments_age_name,avg_comparisons_age_name,avg_time_age_name
10,16,54,18,48,22.8663,25.7749,34,102,32.4453
20,48,144,38,124,32.5126,30.9041,86,268,98.7267
30,80,242,86,219,44.3049,64.8622,166,461,104.409
40,110,320,128,342,67.1103,85.3835,238,662,131.988
50,164,408,156,408,78.7112,97.3544,320,816,186.766
60,216,536,196,555,94.642,111.418,412,1091,201.404
70,258,664,256,633,108.333,125.886,514,1297,227.866
80,312,706,322,704,184.499,136.832,634,1410,274.915
90,382,834,352,929,147.994,173.363,734,1763,307.778
100,416,954,426,925,155.229,164.698,842,1879,414.652
