dataset,age_assignments,age_comparisons,name_assignments,name_comparisons,age_time,name_time,avg_assignments_age_name,avg_comparisons_age_name,avg_time_age_name
10,16,59,18,49,21.8328,23.2193,34,108,45.4985
20,36,151,38,123,47.9242,50.3735,74,274,96.5194
30,70,221,86,246,69.6941,81.937,156,467,155.431
40,112,366,124,318,119.817,75.0816,236,684,212.109
50,164,392,162,424,145.273,110.14,326,816,150.519
60,212,529,196,583,104.497,140.924,408,1112,259.932
70,252,710,236,619,143.524,180.978,488,1329,332.058
80,320,795,312,695,181.986,208.552,632,1490,387.196
90,366,814,362,922,221.616,286.463,728,1736,532.534
100,410,983,424,922,186.316,169.051,834,1905,355.643
