age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,
20,blue-collar,single,secondary,no,129,yes,yes,unknown,13,may,190,1,-1,0,unknown,no,
21,student,single,secondary,no,6,no,no,unknown,9,may,622,1,-1,0,unknown,no,
22,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,179,2,-1,0,unknown,no,
22,management,single,secondary,no,594,yes,no,unknown,13,may,154,1,-1,0,unknown,no,
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no,
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,
25,blue-collar,single,secondary,no,335,yes,no,unknown,13,may,164,1,-1,0,unknown,no,
26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no,
26,management,married,primary,no,1349,yes,no,unknown,9,may,275,1,-1,0,unknown,no,
26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,yes,
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no,
27,blue-collar,single,secondary,no,1401,yes,no,unknown,28,may,392,1,-1,0,unknown,no,
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,
28,admin.,single,tertiary,no,422,yes,no,unknown,9,may,274,1,-1,0,unknown,no,
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,
21,blue-collar,single,secondary,no,-273,yes,yes,unknown,13,may,340,1,-1,0,unknown,no,
26,admin.,single,secondary,no,92,yes,no,unknown,13,may,259,1,-1,0,unknown,no,
27,blue-collar,married,secondary,no,419,yes,no,unknown,4,jun,1181,2,-1,0,unknown,yes,
29,admin.,divorced,secondary,no,0,no,no,unknown,9,may,393,1,-1,0,unknown,no,
29,management,single,tertiary,no,112,yes,yes,unknown,28,may,117,2,-1,0,unknown,no,
30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no,
24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,-1,0,unknown,yes,
29,admin.,single,secondary,yes,-228,yes,no,unknown,9,may,279,1,-1,0,unknown,no,
30,student,single,tertiary,no,34,yes,no,unknown,6,may,289,1,-1,0,unknown,no,
31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no,
31,technician,single,secondary,no,849,yes,yes,unknown,13,may,295,2,-1,0,unknown,no,
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,
30,technician,single,secondary,no,659,yes,no,unknown,20,may,241,3,-1,0,unknown,no,
31,blue-collar,married,primary,no,26,yes,no,unknown,20,may,51,26,-1,0,unknown,no,
32,services,married,secondary,no,442,yes,no,unknown,8,may,207,1,-1,0,unknown,no,
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,
27,blue-collar,single,secondary,no,71,yes,no,unknown,13,may,174,1,-1,0,unknown,no,
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,yes,
30,blue-collar,married,secondary,no,578,yes,yes,unknown,4,jun,48,1,-1,0,unknown,no,
31,services,married,secondary,no,28,yes,no,unknown,8,may,101,1,-1,0,unknown,no,
32,blue-collar,married,primary,no,697,yes,no,unknown,23,may,700,1,-1,0,unknown,no,
33,unemployed,single,tertiary,no,1716,yes,no,unknown,7,may,396,2,-1,0,unknown,no,
34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no,
27,technician,married,secondary,no,512,yes,no,unknown,19,may,128,1,-1,0,unknown,no,
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown,yes,
32,management,married,tertiary,no,2976,yes,no,unknown,21,may,174,1,-1,0,unknown,no,
33,blue-collar,single,primary,no,599,yes,no,unknown,21,may,29,1,-1,0,unknown,no,
34,technician,married,secondary,no,222,yes,no,unknown,12,may,149,6,-1,0,unknown,no,
35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,
26,blue-collar,single,secondary,no,-29,yes,no,unknown,8,may,196,1,-1,0,unknown,no,
29,blue-collar,single,secondary,no,353,yes,no,unknown,4,jun,184,1,-1,0,unknown,no,
30,blue-collar,married,secondary,no,187,yes,no,unknown,26,may,272,6,-1,0,unknown,no,
31,technician,married,tertiary,no,4315,yes,no,unknown,21,may,359,1,-1,0,unknown,no,
30,admin.,single,secondary,yes,-242,no,no,unknown,4,jun,276,1,-1,0,unknown,no,
32,blue-collar,married,secondary,no,0,yes,yes,unknown,21,may,143,2,-1,0,unknown,no,
33,blue-collar,married,primary,no,3868,yes,no,unknown,2,jun,445,1,-1,0,unknown,no,
30,blue-collar,married,secondary,no,578,yes,yes,unknown,4,jun,48,1,-1,0,unknown,no,
33,blue-collar,married,secondary,no,355,yes,no,unknown,4,jun,87,3,-1,0,unknown,no,
34,admin.,married,secondary,no,50,yes,no,unknown,20,may,89,2,-1,0,unknown,no,
34,technician,married,tertiary,no,0,yes,no,unknown,20,may,185,12,-1,0,unknown,no,
35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no,
35,blue-collar,single,secondary,no,773,yes,no,unknown,23,may,136,2,-1,0,unknown,no,
