date,open,volume,high,low,average,
2016/02/22,177.74,5055340,170.12,178.91,169.85,
2016/10/26,202.24,5346893,201,203.19,200.1,
2016/10/26,202.24,5346893,201,203.19,200.1,
2016/05/12,207.28,3650075,211.44,211.67,203.657,
2016/12/21,207.7,5206143,208.45,212.23,207.41,
2015/11/03,208.35,8065091,213.85,214.44,207.75,
2016/10/04,211.41,3537953,213.1,213.32,208.82,
2016/05/05,211.53,11248340,228.46,228.64,209.79,
2016/06/17,215.47,3107734,217.81,219.99,214.5,
2016/06/13,217.87,4187833,219.5,225.77,217.66,
2016/06/01,219.56,2982270,221.48,222.4,216.89,
2016/03/16,221.93,3511873,218,222.58,217.02,
2016/08/18,223.51,1699300,223.82,225.66,222.29,
2016/03/22,234.24,4303052,237.21,238.99,232.558,
2015/12/16,234.51,5100443,222.1,234.88,220.73,
2017/01/30,250.63,3798638,252.53,255.29,247.1,
2017/01/30,250.63,3798638,252.53,255.29,247.1,
2017/03/03,251.57,2925481,250.74,251.9,249,
2018/03/29,266.13,15014440,256.49,270.96,248.21,
2017/03/27,270.22,6221361,260.6,270.57,259.75,
2018/05/23,279.07,5972237,277.76,279.91,274,
2018/04/25,280.69,4000421,283.5,285.16,277.25,
2018/05/30,291.72,7473590,283.29,295.005,281.6,
2018/06/01,291.82,5417984,285.86,291.95,283.839,
2017/05/04,295.46,14135990,307.435,307.77,290.76,
2018/05/08,301.97,5927447,300.795,307.75,299,
2017/11/10,302.99,4621080,302.5,308.36,301.85,
2018/08/30,303.15,7210625,302.26,304.6,297.72,
2017/11/03,306.09,8885933,299.5,306.25,295.13,
2017/04/11,308.71,5718053,313.38,313.47,305.5,
2017/11/20,308.74,8241821,313.79,315.5,304.75,
2017/07/06,308.83,19258040,317.26,320.79,306.3,
2018/07/06,308.9,8860198,304.955,312.07,302,
2018/10/01,310.7,21714210,305.77,311.44,301.05,
2018/02/08,315.23,10296420,343.31,348.62,314.6,
2017/11/27,316.81,4537779,313.25,317.34,309.51,
2017/11/21,317.81,7256381,310.86,318.23,308.71,
2017/08/01,319.57,8284997,323,324.45,316.13,
2018/08/22,321.64,5935853,320.87,323.88,314.67,
2018/07/10,322.47,9437557,324.56,327.677,319.2,
2018/07/17,322.69,6987782,308.81,324.74,308.5,
2018/02/06,333.97,5080032,325.21,336.22,323.5,
2017/07/27,334.46,8285879,346,347.5,326.29,
2018/03/02,335.12,5088789,326.98,335.22,322.97,
2018/01/08,336.41,9832610,316,337.02,315.5,
2017/12/18,338.87,5466546,344.9,346.73,337.58,
2018/06/26,342,7434749,336.054,343.55,325.799,
2018/01/17,347.16,7092554,340.47,349,339.75,
2018/08/02,349.54,23159160,328.44,349.99,323.16,
2017/06/14,380.66,12778480,381.085,384.25,376.31,
